placename	month	count
Gaza	2023-10	4208
Gaza	2023-11	4551
Gaza	2023-12	2892
Gaza	2024-01	1966
Gaza	2024-02	1895
Gaza	2024-03	2206
Gaza	2024-04	1002
Gaza City	2023-10	207
Gaza City	2023-11	193
Gaza City	2023-12	75
Gaza City	2024-01	35
Gaza City	2024-02	63
Gaza City	2024-03	82
Gaza City	2024-04	17
Gaz	2023-10	4211
Gaz	2023-11	4565
Gaz	2023-12	2912
Gaz	2024-01	1972
Gaz	2024-02	1902
Gaz	2024-03	2211
Gaz	2024-04	1005
gaza	2023-10	4208
gaza	2023-11	4551
gaza	2023-12	2892
gaza	2024-01	1966
gaza	2024-02	1895
gaza	2024-03	2206
gaza	2024-04	1002
Gaza Strip	2023-10	692
Gaza Strip	2023-11	598
Gaza Strip	2023-12	284
Gaza Strip	2024-01	164
Gaza Strip	2024-02	178
Gaza Strip	2024-03	150
Gaza Strip	2024-04	65
Rafah	2023-10	182
Rafah	2023-11	150
Rafah	2023-12	201
Rafah	2024-01	41
Rafah	2024-02	498
Rafah	2024-03	253
Rafah	2024-04	81
Beit Lahia	2023-10	8
Beit Lahia	2023-11	4
Beit Lahia	2023-12	2
Jabalia	2023-10	33
Jabalia	2023-11	102
Jabalia	2023-12	44
Jabalia	2024-01	12
Jabalia	2024-02	7
Jabalia	2024-03	8
Jabalia	2024-04	2
Beit Hanoun	2023-10	4
Beit Hanoun	2023-11	4
Gaza by	2023-10	15
Gaza by	2023-11	14
Gaza by	2023-12	19
Gaza by	2024-01	8
Gaza by	2024-02	11
Gaza by	2024-03	8
Gaza by	2024-04	7
Al-Shifa Hospital	2023-10	31
Al-Shifa Hospital	2023-11	244
Al-Shifa Hospital	2023-12	23
Al-Shifa Hospital	2024-01	3
Al-Shifa Hospital	2024-02	15
Al-Shifa Hospital	2024-03	31
Al-Shifa Hospital	2024-04	13
Beit Hanoon	2023-10	15
Beit Hanoon	2023-11	13
Beit Hanoon	2023-12	4
Beit Hanoon	2024-01	1
Beit Hanoon	2024-02	3
Beit Hanoon	2024-03	7
Beit Hanoon	2024-04	10
Khan Younis	2023-10	74
Khan Younis	2023-11	132
Khan Younis	2023-12	173
Khan Younis	2024-01	73
Khan Younis	2024-02	63
Khan Younis	2024-03	40
Khan Younis	2024-04	25
Tunis	2023-10	14
Tunis	2023-11	41
Tunis	2023-12	6
Tunis	2024-01	5
Tunis	2024-02	2
Tunis	2024-03	2
Tunis	2024-04	19
An Nasr	2023-10	12
An Nasr	2023-11	25
An Nasr	2023-12	3
An Nasr	2024-01	13
An Nasr	2024-02	6
An Nasr	2024-03	3
An Nasr	2024-04	3
Bureij	2023-10	3
Bureij	2023-11	15
Bureij	2023-12	17
Bureij	2024-01	5
Bureij	2024-02	2
Bureij	2024-03	5
Rimal	2023-10	14
Rimal	2023-11	2
Rimal	2023-12	1
Beit Lahiya	2023-10	3
Beit Lahiya	2023-11	10
Beit Lahiya	2023-12	6
Beit Lahiya	2024-01	2
Beit Lahiya	2024-02	3
Beit Lahiya	2024-03	1
Beit Lahiya	2024-04	2
Jabaliya	2023-10	4
Jabaliya	2023-11	1
Jabaliya	2023-12	2
Deir El-Balah	2023-10	38
Deir El-Balah	2023-11	51
Deir El-Balah	2023-12	45
Deir El-Balah	2024-01	19
Deir El-Balah	2024-02	31
Deir El-Balah	2024-03	30
Deir El-Balah	2024-04	12
Deir el-Balah	2023-10	38
Deir el-Balah	2023-11	51
Deir el-Balah	2023-12	45
Deir el-Balah	2024-01	19
Deir el-Balah	2024-02	31
Deir el-Balah	2024-03	30
Deir el-Balah	2024-04	12
Nuseira	2023-10	22
Nuseira	2023-11	16
Nuseira	2023-12	26
Nuseira	2024-01	11
Nuseira	2024-02	6
Nuseira	2024-03	9
Nuseira	2024-04	8
Nuseirat	2023-10	22
Nuseirat	2023-11	16
Nuseirat	2023-12	26
Nuseirat	2024-01	11
Nuseirat	2024-02	6
Nuseirat	2024-03	9
Nuseirat	2024-04	8
Azzah	2023-10	3
Ghazza	2023-10	3
Ghazzah	2023-10	3
Maghazi	2023-10	15
